,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
515,Chicken spread,100 g,158,18g,3.2g,56mg,722.00 mg,0,3.00 mcg,0.00 mcg,2.748 mg,0.430 mg,0.114 mg,0.009 mg,99.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.13 mcg,0.150 mg,0.0 mg,0,0,0,0,16.00 mg,0.040 mg,0.87 mg,12.00 mg,0.012 mg,89.00 mg,106.00 mg,10.8 mcg,1.15 mg,18.01 g,1.037 g,1.117 g,1.580 g,0.237 g,2.586 g,1.166 g,0.517 g,0,0.879 g,1.286 g,1.438 g,0.469 g,0.687 g,0.868 g,0.626 g,0.730 g,0.197 g,0.568 g,0.859 g,4.05 g,0.3 g,0.47 g,0,0,0,0,0,0,17.56 g,3.230 g,4.800 g,2.350 g,56.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,57.41 g
516,"Millet, cooked",100 g,119,1g,0.2g,0,2.00 mg,11.2 mg,19.00 mcg,0.00 mcg,1.330 mg,0.171 mg,0.082 mg,0.106 mg,3.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,70.00 mcg,0,0.00 mcg,0.108 mg,0.0 mg,0.00 IU,0.02 mg,0.02 mg,0.3 mcg,3.00 mg,0.161 mg,0.63 mg,44.00 mg,0.272 mg,100.00 mg,62.00 mg,0.9 mcg,0.91 mg,3.51 g,0.314 g,0.122 g,0.231 g,0.067 g,0.763 g,0.092 g,0.075 g,0,0.148 g,0.446 g,0.067 g,0.070 g,0.185 g,0.279 g,0.205 g,0.113 g,0.038 g,0.108 g,0.184 g,23.67 g,1.3 g,0.13 g,0,0,0,0,0,0,1.00 g,0.172 g,0.184 g,0.508 g,0.00 mg,0.0 g,0.41 g,0.00 mg,0.00 mg,71.41 g
517,"Capers, canned",100 g,23,0.9g,0.2g,0,2348.00 mg,6.5 mg,23.00 mcg,0.00 mcg,0.652 mg,0.027 mg,0.139 mg,0.018 mg,138.00 IU,7.00 mcg,0.00 mcg,83.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.023 mg,4.3 mg,0.00 IU,0.88 mg,0.88 mg,24.6 mcg,40.00 mg,0.374 mg,1.67 mg,33.00 mg,0.078 mg,10.00 mg,40.00 mg,1.2 mcg,0.32 mg,2.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89 g,3.2 g,0.41 g,0,0,0,0,0,0,0.86 g,0.233 g,0.063 g,0.304 g,0.00 mg,0.0 g,8.04 g,0.00 mg,0.00 mg,83.85 g
518,"Sapodilla, raw",100 g,83,1.1g,0.2g,0,12.00 mg,0,14.00 mcg,0.00 mcg,0.200 mg,0.252 mg,0.020 mg,0.000 mg,60.00 IU,3.00 mcg,0,0,0,0,0,0.00 mcg,0.037 mg,14.7 mg,0,0,0,0,21.00 mg,0.086 mg,0.80 mg,12.00 mg,0,12.00 mg,193.00 mg,0.6 mcg,0.10 mg,0.44 g,0.014 g,0.017 g,0.032 g,0,0.038 g,0.017 g,0.016 g,0,0.015 g,0.024 g,0.039 g,0.003 g,0.013 g,0.036 g,0.018 g,0.012 g,0.005 g,0.014 g,0.016 g,19.96 g,5.3 g,0,0,0,0,0,0,0,1.10 g,0.194 g,0.521 g,0.011 g,0.00 mg,0.0 g,0.50 g,0,0,78.00 g
519,"Wild rice, raw",100 g,357,1.1g,0.2g,0,7.00 mg,35.0 mg,95.00 mcg,0.00 mcg,6.733 mg,1.074 mg,0.262 mg,0.115 mg,19.00 IU,1.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,220.00 mcg,0,0.00 mcg,0.391 mg,0.0 mg,0.00 IU,0.82 mg,0.82 mg,1.9 mcg,21.00 mg,0.524 mg,1.96 mg,177.00 mg,1.329 mg,433.00 mg,427.00 mg,2.8 mcg,5.96 mg,14.73 g,0.825 g,1.136 g,1.419 g,0.174 g,2.565 g,0.672 g,0.384 g,0,0.618 g,1.018 g,0.629 g,0.438 g,0.721 g,0.519 g,0.778 g,0.469 g,0.179 g,0.622 g,0.858 g,74.90 g,6.2 g,2.50 g,0,0,0,0,0,0.67 g,1.08 g,0.156 g,0.159 g,0.676 g,0.00 mg,0.0 g,1.53 g,0.00 mg,0.00 mg,7.76 g
520,"Arrowhead, raw",100 g,99,0.3g,,0,22.00 mg,0,14.00 mcg,0.00 mcg,1.650 mg,0.599 mg,0.073 mg,0.170 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.260 mg,1.1 mg,0.00 IU,0,0,0,10.00 mg,0.171 mg,2.57 mg,51.00 mg,0.360 mg,174.00 mg,922.00 mg,0.7 mcg,0.28 mg,5.33 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.23 g,0,0,0,0,0,0,0,0,0.29 g,0,0,0,0.00 mg,0,1.67 g,0,0,72.48 g
521,"Frog legs, raw",100 g,73,0.3g,0.1g,50mg,58.00 mg,65.0 mg,15.00 mcg,0.00 mcg,1.200 mg,0,0.250 mg,0.140 mg,50.00 IU,15.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.40 mcg,0.120 mg,0.0 mg,8.00 IU,1.00 mg,1.00 mg,0.1 mcg,18.00 mg,0.250 mg,1.50 mg,20.00 mg,0,147.00 mg,285.00 mg,14.1 mcg,1.00 mg,16.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,0.30 g,0.076 g,0.053 g,0.102 g,50.00 mg,0.0 g,1.40 g,0.00 mg,0.00 mg,81.90 g
522,"Jackfruit, raw",100 g,95,0.6g,0.2g,0,2.00 mg,0,24.00 mcg,0.00 mcg,0.920 mg,0.235 mg,0.055 mg,0.105 mg,110.00 IU,5.00 mcg,6.00 mcg,61.00 mcg,5.00 mcg,157.00 mcg,0,0.00 mcg,0.329 mg,13.7 mg,0,0.34 mg,0.34 mg,0,24.00 mg,0.076 mg,0.23 mg,29.00 mg,0.043 mg,21.00 mg,448.00 mg,0,0.13 mg,1.72 g,0.086 g,0.138 g,0.172 g,0.017 g,0.189 g,0.086 g,0.034 g,0,0.069 g,0.103 g,0.069 g,0.034 g,0.052 g,0.017 g,0.103 g,0.086 g,0.034 g,0.103 g,0.086 g,23.25 g,1.5 g,19.08 g,9.19 g,0.00 g,9.48 g,0.00 g,0.00 g,0.42 g,0.64 g,0.195 g,0.155 g,0.094 g,0.00 mg,0.0 g,0.94 g,0,0,73.46 g
523,"Litchis, dried",100 g,277,1.2g,0.3g,0,3.00 mg,12.7 mg,12.00 mcg,0.00 mcg,3.100 mg,0,0.570 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.090 mg,183.0 mg,0.00 IU,0.31 mg,0.31 mg,1.6 mcg,33.00 mg,0.631 mg,1.70 mg,42.00 mg,0.234 mg,181.00 mg,1110.00 mg,1.3 mcg,0.28 mg,3.80 g,0,0,0,0,0,0,0,0,0,0,0.187 g,0.042 g,0,0,0,0,0.033 g,0,0,70.70 g,4.6 g,66.10 g,0,0,0,0,0,0,1.20 g,0.270 g,0.328 g,0.361 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,22.30 g
524,"Rutabagas, raw",100 g,37,0.2g,,0,12.00 mg,14.1 mg,21.00 mcg,0.00 mcg,0.700 mg,0.160 mg,0.040 mg,0.090 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,19.00 mcg,0,0.00 mcg,0.100 mg,25.0 mg,0.00 IU,0.30 mg,0.30 mg,0.3 mcg,43.00 mg,0.032 mg,0.44 mg,20.00 mg,0.131 mg,53.00 mg,305.00 mg,0.7 mcg,0.24 mg,1.08 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62 g,2.3 g,4.46 g,1.61 g,0.00 g,2.30 g,0.00 g,0.02 g,0.53 g,0.16 g,0.027 g,0.025 g,0.088 g,0.00 mg,0.0 g,0.71 g,0.00 mg,0.00 mg,89.43 g
