,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
1894,"Bologna, turkey and beef, pork",100 g,336,29g,12g,75mg,1055.00 mg,0,4.00 mcg,0.00 mcg,3.310 mg,0.360 mg,0.150 mg,0.152 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.08 mcg,0.388 mg,11.0 mg,0,0.00 mg,0.00 mg,0,31.00 mg,0.093 mg,1.20 mg,14.00 mg,0.265 mg,128.00 mg,222.00 mg,12.4 mcg,2.22 mg,11.56 g,0.724 g,0.908 g,1.143 g,0.135 g,1.889 g,0.664 g,0.361 g,0,0.540 g,0.937 g,1.024 g,0.298 g,0.474 g,0.522 g,0.493 g,0.509 g,0.126 g,0.388 g,0.614 g,6.66 g,0.0 g,1.35 g,0,0,0,0,0,0,29.25 g,11.700 g,12.789 g,2.512 g,75.00 mg,0.0 g,7.15 g,0.00 mg,0.00 mg,45.37 g
1895,"Bologna, lite, pork and turkey",100 g,211,16g,5.5g,79mg,716.00 mg,0,18.00 mcg,0.00 mcg,3.072 mg,0.340 mg,0.097 mg,0.159 mg,2.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.29 mcg,0.163 mg,0.0 mg,0,0,0,0,48.00 mg,0.082 mg,1.15 mg,17.00 mg,0.155 mg,94.00 mg,138.00 mg,5.6 mcg,0.73 mg,13.06 g,0.507 g,0.629 g,0.766 g,0.151 g,2.109 g,0.461 g,0.236 g,0,0.419 g,0.714 g,0.664 g,0.217 g,0.402 g,0.610 g,0.430 g,0.357 g,0.101 g,0.303 g,0.470 g,3.45 g,0.0 g,0.00 g,0,0,0,0,0,0,16.06 g,5.460 g,7.548 g,3.051 g,79.00 mg,0.0 g,2.56 g,0.00 mg,0.00 mg,64.87 g
1896,"Restaurant, tripe soup, Latino",100 g,74,2.6g,1g,59mg,411.00 mg,12.7 mg,0,0,0.523 mg,0.133 mg,0.020 mg,0.015 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.45 mcg,0.038 mg,0,0,0.38 mg,0.38 mg,2.3 mcg,22.00 mg,0.022 mg,0.68 mg,10.00 mg,0.064 mg,42.00 mg,81.00 mg,5.6 mcg,1.06 mg,8.61 g,0.590 g,0.588 g,0.649 g,0.064 g,1.221 g,0.978 g,0.147 g,0,0.271 g,0.539 g,0.452 g,0.164 g,0.268 g,0.614 g,0.341 g,0.291 g,0.064 g,0.220 g,0.346 g,4.07 g,0,0,0,0,0,0,0,0,2.58 g,1.045 g,1.124 g,0.310 g,59.00 mg,0,1.33 g,0,0,83.41 g
1897,"Mungo beans, raw, mature seeds",100 g,341,1.6g,0.1g,0,38.00 mg,0,216.00 mcg,0.00 mcg,1.447 mg,0.906 mg,0.254 mg,0.273 mg,23.00 IU,1.00 mcg,0,0,0,0,0,0.00 mcg,0.281 mg,0.0 mg,0.00 IU,0,0,0,138.00 mg,0.981 mg,7.57 mg,267.00 mg,1.527 mg,379.00 mg,983.00 mg,8.2 mcg,3.35 mg,25.21 g,1.077 g,1.642 g,2.948 g,0.234 g,4.126 g,1.053 g,0.706 g,0,1.287 g,2.089 g,1.674 g,0.367 g,1.473 g,1.166 g,1.327 g,0.875 g,0.263 g,0.783 g,1.416 g,58.99 g,18.3 g,0,0,0,0,0,0,0,1.64 g,0.114 g,0.085 g,1.071 g,0.00 mg,0,3.36 g,0,0,10.80 g
1898,"Fish, dry heat, cooked, burbot",100 g,115,1g,0.2g,77mg,124.00 mg,0,1.00 mcg,0.00 mcg,1.973 mg,0.173 mg,0.172 mg,0.429 mg,17.00 IU,5.00 mcg,0,0,0,0,0,0.92 mcg,0.346 mg,0.0 mg,0,0,0,0,64.00 mg,0.256 mg,1.15 mg,41.00 mg,0.897 mg,256.00 mg,518.00 mg,16.2 mcg,0.97 mg,24.76 g,1.497 g,1.481 g,2.535 g,0.265 g,3.696 g,1.188 g,0.729 g,0,1.141 g,2.012 g,2.274 g,0.733 g,0.966 g,0.875 g,1.010 g,1.085 g,0.277 g,0.836 g,1.275 g,0.00 g,0.0 g,0,0,0,0,0,0,0,1.04 g,0.209 g,0.170 g,0.381 g,77.00 mg,0,1.49 g,0,0,73.41 g
1899,"Ravioli, canned, cheese-filled",100 g,77,1.5g,0.7g,3mg,306.00 mg,9.5 mg,20.00 mcg,9.00 mcg,1.060 mg,0.272 mg,0.080 mg,0.074 mg,207.00 IU,10.00 mcg,0.00 mcg,124.00 mcg,0.00 mcg,16.00 mcg,0,0.03 mcg,0.102 mg,0.0 mg,0.00 IU,0.85 mg,0.85 mg,2.3 mcg,33.00 mg,0.142 mg,0.74 mg,15.00 mg,0.176 mg,50.00 mg,232.00 mg,3.5 mcg,0.36 mg,2.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64 g,1.3 g,3.72 g,0,0,0,0,0,0,1.45 g,0.723 g,0.418 g,0.182 g,3.00 mg,0.0 g,1.52 g,0.00 mg,0.00 mg,80.91 g
1900,"Beans, raw, mature seeds, pink",100 g,343,1.1g,0.3g,0,8.00 mg,67.2 mg,463.00 mcg,0.00 mcg,1.892 mg,0.997 mg,0.192 mg,0.772 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.527 mg,0.0 mg,0.00 IU,0.21 mg,0.21 mg,5.7 mcg,130.00 mg,0.810 mg,6.77 mg,182.00 mg,1.376 mg,415.00 mg,1464.00 mg,13.0 mcg,2.55 mg,20.96 g,0.878 g,1.298 g,2.535 g,0.228 g,3.195 g,0.818 g,0.583 g,0,0.925 g,1.673 g,1.438 g,0.315 g,1.133 g,0.889 g,1.140 g,0.882 g,0.248 g,0.590 g,1.096 g,64.19 g,12.7 g,2.14 g,0,0,0,0,0,0,1.13 g,0.292 g,0.098 g,0.487 g,0.00 mg,0.0 g,3.66 g,0.00 mg,0.00 mg,10.06 g
1901,"Sausage, links, sweet, Italian",100 g,149,8.4g,3.3g,30mg,570.00 mg,0,4.00 mcg,0.00 mcg,1.736 mg,0.277 mg,0.125 mg,0.172 mg,2.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.04 mcg,0.187 mg,0.2 mg,0,0,0,0,25.00 mg,0.040 mg,1.19 mg,12.00 mg,0.007 mg,103.00 mg,194.00 mg,10.8 mcg,1.52 mg,16.13 g,0.544 g,0.576 g,0.851 g,0.109 g,1.470 g,0.482 g,0.333 g,0,0.438 g,0.760 g,0.802 g,0.242 g,0.377 g,0.449 g,0.382 g,0.417 g,0.111 g,0.329 g,0.489 g,2.10 g,0.0 g,0.00 g,0,0,0,0,0,0,8.42 g,3.257 g,3.629 g,0.493 g,30.00 mg,0.0 g,1.75 g,0.00 mg,0.00 mg,71.60 g
1902,"Buckwheat groats, dry, roasted",100 g,346,2.7g,0.6g,0,11.00 mg,54.2 mg,42.00 mcg,0.00 mcg,5.135 mg,1.233 mg,0.271 mg,0.224 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.353 mg,0.0 mg,0.00 IU,0,0,0,17.00 mg,0.624 mg,2.47 mg,221.00 mg,1.618 mg,319.00 mg,320.00 mg,8.4 mcg,2.42 mg,11.73 g,0.662 g,0.869 g,1.003 g,0.202 g,1.811 g,0.912 g,0.273 g,0,0.441 g,0.736 g,0.595 g,0.153 g,0.461 g,0.449 g,0.606 g,0.448 g,0.170 g,0.213 g,0.600 g,74.95 g,10.3 g,0,0,0,0,0,0,0,2.71 g,0.591 g,0.828 g,0.828 g,0.00 mg,0.0 g,2.20 g,0,0,8.41 g
1903,"Yogurt, nonfat milk, chocolate",100 g,112,0g,,1mg,135.00 mg,15.2 mg,12.00 mcg,0.00 mcg,0.223 mg,0,0.215 mg,0.047 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.50 mcg,0.047 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,88.00 mg,0.209 mg,0.42 mg,40.00 mg,0,166.00 mg,339.00 mg,7.0 mcg,1.13 mg,3.53 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53 g,1.2 g,14.97 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,1.00 mg,0.0 g,1.37 g,2.00 mg,23.00 mg,71.57 g
1904,"Beverages, non-alcoholic, Wine",100 g,6,0g,,0,7.00 mg,5.0 mg,1.00 mcg,0.00 mcg,0.100 mg,0,0.010 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.020 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,9.00 mg,0.011 mg,0.40 mg,10.00 mg,0,15.00 mg,88.00 mg,0.2 mcg,0.08 mg,0.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10 g,0.0 g,1.10 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,98.20 g
1905,"Babyfood, strained, beef, meat",100 g,81,2.5g,1.2g,51mg,41.00 mg,37.6 mg,8.00 mcg,0.00 mcg,2.495 mg,0.083 mg,0.135 mg,0.013 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.26 mcg,0.039 mg,2.1 mg,15.00 IU,0.37 mg,0.37 mg,0.6 mcg,5.00 mg,0.148 mg,0.98 mg,11.00 mg,0.037 mg,93.00 mg,187.00 mg,2.9 mcg,2.22 mg,12.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43 g,0.0 g,0.00 g,0,0,0,0,0,0,2.52 g,1.180 g,0.950 g,0.160 g,51.00 mg,0.0 g,0.57 g,0.00 mg,0.00 mg,82.44 g
1906,"Babyfood, strained, pork, meat",100 g,124,7.1g,2.4g,48mg,42.00 mg,0,2.00 mcg,0.00 mcg,2.269 mg,0.272 mg,0.203 mg,0.146 mg,38.00 IU,11.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.99 mcg,0.205 mg,1.8 mg,0,0.40 mg,0.40 mg,0,5.00 mg,0.072 mg,1.00 mg,10.00 mg,0,94.00 mg,223.00 mg,12.9 mcg,2.27 mg,14.00 g,0.879 g,0.948 g,1.310 g,0.154 g,2.133 g,0.760 g,0.447 g,0,0.680 g,1.127 g,1.158 g,0.398 g,0.570 g,0.747 g,0.541 g,0.617 g,0.136 g,0.510 g,0.702 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,7.10 g,2.400 g,3.580 g,0.780 g,48.00 mg,0.0 g,1.10 g,0.00 mg,0.00 mg,78.40 g
1907,"Babyfood, strained, veal, meat",100 g,81,2.5g,1.1g,33mg,39.00 mg,49.5 mg,5.00 mcg,0.00 mcg,2.850 mg,0.155 mg,0.116 mg,0.023 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.65 mcg,0.049 mg,0.0 mg,26.00 IU,0.28 mg,0.28 mg,0.0 mcg,6.00 mg,0.148 mg,0.76 mg,11.00 mg,0.037 mg,98.00 mg,170.00 mg,3.5 mcg,2.50 mg,13.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51 g,0.0 g,0.00 g,0,0,0,0,0,0,2.45 g,1.063 g,1.054 g,0.157 g,33.00 mg,0.0 g,0.54 g,0.00 mg,0.00 mg,82.37 g
1908,"Guinea hen, raw, meat and skin",100 g,158,6.5g,1.8g,74mg,67.00 mg,0,5.00 mcg,0.00 mcg,7.667 mg,0.879 mg,0.102 mg,0.059 mg,92.00 IU,28.00 mcg,0,0,0,0,0,0.34 mcg,0.380 mg,1.3 mg,0,0,0,0,11.00 mg,0.043 mg,0.84 mg,22.00 mg,0.018 mg,153.00 mg,193.00 mg,16.3 mcg,1.13 mg,23.40 g,1.378 g,1.476 g,2.087 g,0.314 g,3.407 g,1.572 g,0.681 g,0,1.156 g,1.693 g,1.891 g,0.618 g,0.906 g,1.162 g,0.829 g,0.963 g,0.259 g,0.748 g,1.132 g,0.00 g,0.0 g,0,0,0,0,0,0,0,6.45 g,1.770 g,2.430 g,1.410 g,74.00 mg,0.0 g,1.25 g,0,0,68.90 g
1909,"Peppers, raw, green, hot chili",100 g,40,0.2g,,0,7.00 mg,11.1 mg,23.00 mcg,0.00 mcg,0.950 mg,0.061 mg,0.090 mg,0.090 mg,1179.00 IU,59.00 mcg,23.00 mcg,671.00 mcg,50.00 mcg,725.00 mcg,0,0.00 mcg,0.278 mg,242.5 mg,0.00 IU,0.69 mg,0.69 mg,14.3 mcg,18.00 mg,0.174 mg,1.20 mg,25.00 mg,0.237 mg,46.00 mg,340.00 mg,0.5 mcg,0.30 mg,2.00 g,0.082 g,0.096 g,0.286 g,0.038 g,0.264 g,0.074 g,0.041 g,0,0.065 g,0.105 g,0.089 g,0.024 g,0.062 g,0.087 g,0.080 g,0.074 g,0.026 g,0.042 g,0.084 g,9.46 g,1.5 g,5.10 g,0,0,0,0,0,0,0.20 g,0.021 g,0.011 g,0.109 g,0.00 mg,0.0 g,0.60 g,0.00 mg,0.00 mg,87.74 g
1910,"Squash, raw, butternut, winter",100 g,45,0.1g,,0,4.00 mg,0,27.00 mcg,0.00 mcg,1.200 mg,0.400 mg,0.020 mg,0.100 mg,10630.00 IU,532.00 mcg,834.00 mcg,4226.00 mcg,3471.00 mcg,0.00 mcg,0,0.00 mcg,0.154 mg,21.0 mg,0.00 IU,1.44 mg,1.44 mg,1.1 mcg,48.00 mg,0.072 mg,0.70 mg,34.00 mg,0.202 mg,33.00 mg,352.00 mg,0.5 mcg,0.15 mg,1.00 g,0.042 g,0.056 g,0.107 g,0.009 g,0.175 g,0.037 g,0.019 g,0,0.039 g,0.057 g,0.037 g,0.012 g,0.039 g,0.036 g,0.039 g,0.030 g,0.014 g,0.034 g,0.043 g,11.69 g,2.0 g,2.20 g,0.99 g,0.00 g,0.99 g,0.00 g,0.00 g,0.22 g,0.10 g,0.021 g,0.007 g,0.042 g,0.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,86.41 g
1911,"Peppers, sauteed, green, sweet",100 g,127,12g,1.6g,0,17.00 mg,4.8 mg,2.00 mcg,0,0.582 mg,0.111 mg,0.048 mg,0.042 mg,273.00 IU,14.00 mcg,42.00 mcg,135.00 mcg,17.00 mcg,0,0,0.00 mcg,0.196 mg,177.0 mg,0.00 IU,1.40 mg,1.40 mg,21.3 mcg,8.00 mg,0.017 mg,0.30 mg,8.00 mg,0.062 mg,15.00 mg,134.00 mg,0.6 mcg,0.06 mg,0.78 g,0.033 g,0.024 g,0.189 g,0.011 g,0.176 g,0.027 g,0.009 g,0,0.022 g,0.033 g,0.036 g,0.007 g,0.084 g,0.022 g,0.049 g,0.033 g,0.011 g,0.011 g,0.033 g,4.22 g,1.8 g,2.17 g,1.08 g,0.00 g,1.09 g,0.00 g,0.00 g,0.00 g,11.85 g,1.590 g,2.337 g,5.900 g,0.00 mg,0,0.50 g,0,0,82.65 g
1912,"Bread, unenriched, white, pita",100 g,275,1.2g,0.2g,0,536.00 mg,0,24.00 mcg,0.00 mcg,2.142 mg,0.397 mg,0.097 mg,0.267 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.034 mg,0.0 mg,0,0,0,0,86.00 mg,0.168 mg,1.40 mg,26.00 mg,0.481 mg,97.00 mg,120.00 mg,0,0.84 mg,9.10 g,0.302 g,0.329 g,0.408 g,0.197 g,3.033 g,0.319 g,0.195 g,0,0.349 g,0.634 g,0.219 g,0.160 g,0.446 g,1.012 g,0.438 g,0.257 g,0.105 g,0.257 g,0.394 g,55.70 g,2.2 g,0,0,0,0,0,0,0,1.20 g,0.166 g,0.105 g,0.535 g,0.00 mg,0,1.90 g,0,0,32.10 g
1913,"Corn flour, white, whole-grain",100 g,361,3.9g,0.5g,0,5.00 mg,21.6 mg,25.00 mcg,0.00 mcg,1.900 mg,0.658 mg,0.080 mg,0.246 mg,3.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,5.00 mcg,0,0.00 mcg,0.370 mg,0.0 mg,0.00 IU,0.42 mg,0.42 mg,0.3 mcg,7.00 mg,0.230 mg,2.38 mg,93.00 mg,0.460 mg,272.00 mg,315.00 mg,15.4 mcg,1.73 mg,6.93 g,0.518 g,0.345 g,0.482 g,0.125 g,1.300 g,0.284 g,0.211 g,0,0.248 g,0.850 g,0.195 g,0.145 g,0.340 g,0.605 g,0.329 g,0.261 g,0.049 g,0.282 g,0.351 g,76.85 g,7.3 g,0.64 g,0,0,0,0,0,0,3.86 g,0.543 g,1.018 g,1.759 g,0.00 mg,0.0 g,1.45 g,0.00 mg,0.00 mg,10.91 g
1914,"Salad dressing, sweet and sour",100 g,15,0g,,0,208.00 mg,0.1 mg,2.00 mcg,0.00 mcg,0.060 mg,0.027 mg,0.000 mg,0.010 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.010 mg,8.1 mg,0.00 IU,2.56 mg,2.56 mg,39.6 mcg,4.00 mg,0.010 mg,0.04 mg,3.00 mg,0.060 mg,3.00 mg,33.00 mg,1.6 mcg,0.02 mg,0.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70 g,0.0 g,3.70 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.50 g,0.00 mg,0.00 mg,95.70 g
1915,"Bologna, pork, turkey, chicken",100 g,298,26g,8g,80mg,922.00 mg,53.3 mg,9.00 mcg,0.00 mcg,3.320 mg,0.696 mg,0.132 mg,0.042 mg,75.00 IU,13.00 mcg,11.00 mcg,11.00 mcg,11.00 mcg,0.00 mcg,0,0.79 mcg,0.180 mg,19.7 mg,0,0.41 mg,0.41 mg,0.0 mcg,82.00 mg,0.060 mg,1.16 mg,15.00 mg,0.044 mg,185.00 mg,152.00 mg,0.0 mcg,1.28 mg,9.88 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65 g,0.0 g,0.00 g,0,0,0,0,0,0,26.18 g,7.990 g,10.555 g,4.672 g,80.00 mg,0.0 g,3.03 g,0.00 mg,0.00 mg,55.25 g
1916,"Rice, raw, medium-grain, brown",100 g,362,2.7g,0.5g,0,4.00 mg,0,20.00 mcg,0.00 mcg,4.308 mg,1.493 mg,0.043 mg,0.413 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.509 mg,0.0 mg,0.00 IU,0,0,0,33.00 mg,0.277 mg,1.80 mg,143.00 mg,3.743 mg,264.00 mg,268.00 mg,0,2.02 mg,7.50 g,0.437 g,0.569 g,0.702 g,0.091 g,1.528 g,0.369 g,0.190 g,0,0.318 g,0.620 g,0.286 g,0.169 g,0.387 g,0.352 g,0.388 g,0.275 g,0.096 g,0.281 g,0.440 g,76.17 g,3.4 g,0,0,0,0,0,0,0,2.68 g,0.536 g,0.971 g,0.959 g,0.00 mg,0.0 g,1.27 g,0,0,12.37 g
1917,"Cocoa, unsweetened, dry powder",100 g,228,14g,8.1g,0,21.00 mg,12.0 mg,32.00 mcg,0.00 mcg,2.185 mg,0.254 mg,0.241 mg,0.078 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,38.00 mcg,0,0.00 mcg,0.118 mg,0.0 mg,0.00 IU,0.10 mg,0.10 mg,2.5 mcg,128.00 mg,3.788 mg,13.86 mg,499.00 mg,3.837 mg,734.00 mg,1524.00 mg,14.3 mcg,6.81 mg,19.60 g,0.904 g,1.111 g,1.953 g,0.239 g,2.948 g,0.879 g,0.339 g,0,0.760 g,1.189 g,0.983 g,0.202 g,0.941 g,0.838 g,0.846 g,0.776 g,0.293 g,0.735 g,1.177 g,57.90 g,37.0 g,1.75 g,0,0,0,0,0,0,13.70 g,8.070 g,4.570 g,0.440 g,0.00 mg,0.0 g,5.80 g,230.00 mg,2057.00 mg,3.00 g
1918,"McDONALD'S, Hot Caramel Sundae",100 g,188,4.9g,2.5g,16mg,80.00 mg,0,2.00 mcg,0,0.114 mg,0.681 mg,0.223 mg,0.037 mg,307.00 IU,92.00 mcg,0,0,0,0,0,0.51 mcg,0.049 mg,0,0,0.01 mg,0.01 mg,0,127.00 mg,0.015 mg,0.08 mg,12.00 mg,0.009 mg,112.00 mg,186.00 mg,0,0.45 mg,3.58 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.36 g,0.0 g,23.54 g,0.78 g,0.00 g,3.00 g,5.46 g,1.64 g,12.67 g,4.89 g,2.468 g,1.210 g,0.232 g,16.00 mg,0,0.90 g,0,0,57.27 g
1919,"BURGER KING, Hash Brown Rounds",100 g,302,19g,3.3g,0,568.00 mg,0,13.00 mcg,0,1.980 mg,0.455 mg,0.053 mg,0.163 mg,2.00 IU,0.00 mcg,1.00 mcg,1.00 mcg,0.00 mcg,21.00 mcg,0,0,0.187 mg,4.3 mg,0,4.40 mg,4.40 mg,0,15.00 mg,0.127 mg,0.71 mg,20.00 mg,0.176 mg,95.00 mg,364.00 mg,0.4 mcg,0.37 mg,2.80 g,0.107 g,0.134 g,0.502 g,0.041 g,0.379 g,0.095 g,0.049 g,0,0.100 g,0.178 g,0.173 g,0.036 g,0.124 g,0.105 g,0.122 g,0.119 g,0.034 g,0.090 g,0.139 g,29.37 g,2.3 g,0.63 g,0.28 g,0.00 g,0.35 g,0.00 g,0.00 g,0.00 g,19.30 g,3.285 g,5.466 g,8.984 g,0.00 mg,0,2.19 g,0,0,46.34 g
1920,"Beverages, canned, grape drink",100 g,61,0g,,0,16.00 mg,0.3 mg,0.00 mcg,0.00 mcg,0.010 mg,0.003 mg,0.004 mg,0.001 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,4.00 mcg,0,0.00 mcg,0.002 mg,31.4 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,52.00 mg,0.013 mg,0.07 mg,1.00 mg,0.027 mg,0.00 mg,12.00 mg,0.1 mcg,0.12 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72 g,0.0 g,13.06 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.08 g,0.00 mg,0.00 mg,84.20 g
1921,"Candies, 100 GRAND Bar, NESTLE",100 g,468,19g,12g,12mg,203.00 mg,24.6 mg,5.00 mcg,0.00 mcg,0.198 mg,0.182 mg,0.119 mg,0.058 mg,127.00 IU,38.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,2.00 mcg,0,0.29 mcg,0.016 mg,0.7 mg,0.00 IU,0.42 mg,0.42 mg,6.2 mcg,76.00 mg,0.185 mg,0.34 mg,25.00 mg,0.172 mg,86.00 mg,163.00 mg,2.5 mcg,0.99 mg,2.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.97 g,1.0 g,51.90 g,0,0,0,0,0,0,19.33 g,11.900 g,6.039 g,1.388 g,12.00 mg,0.0 g,1.10 g,8.00 mg,55.00 mg,6.10 g
1922,"Sausage, cooked, pork, Italian",100 g,344,27g,10g,57mg,743.00 mg,78.2 mg,5.00 mcg,0.00 mcg,4.165 mg,0,0.233 mg,0.623 mg,16.00 IU,10.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.30 mcg,0.330 mg,0.1 mg,41.00 IU,0.25 mg,0.25 mg,3.4 mcg,21.00 mg,0.080 mg,1.43 mg,18.00 mg,0,170.00 mg,304.00 mg,22.0 mcg,2.39 mg,19.12 g,1.121 g,1.182 g,1.666 g,0.201 g,2.768 g,1.214 g,0.577 g,0,0.731 g,1.343 g,1.522 g,0.486 g,0.670 g,0.932 g,0.775 g,0.792 g,0.161 g,0.577 g,0.804 g,4.27 g,0.1 g,1.86 g,0,0,0,0,0,0,27.31 g,10.195 g,17.108 g,3.518 g,57.00 mg,0.0 g,2.18 g,0.00 mg,0.00 mg,47.13 g
1923,"Babyfood, dry, rice and apples",100 g,396,2.4g,0.5g,0,16.00 mg,10.1 mg,19.00 mcg,0.00 mcg,20.000 mg,0,1.500 mg,1.300 mg,8.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,3.00 mcg,8.00 mcg,0,0.00 mcg,0.090 mg,0.0 mg,0.00 IU,0.22 mg,0.22 mg,1.5 mcg,850.00 mg,0.373 mg,37.00 mg,15.00 mg,0,423.00 mg,410.00 mg,11.6 mcg,1.40 mg,6.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.89 g,3.0 g,3.22 g,0,0,0,0,0,0,2.40 g,0.503 g,0.615 g,0.920 g,0.00 mg,0.0 g,0.81 g,0.00 mg,0.00 mg,3.20 g
1924,"OLIVE GARDEN, lasagna classico",100 g,184,11g,5.3g,40mg,450.00 mg,33.5 mg,35.00 mcg,0,1.930 mg,0.515 mg,0.273 mg,0.160 mg,414.00 IU,60.00 mcg,0.00 mcg,153.00 mcg,0.00 mcg,105.00 mcg,0,0.55 mcg,0,0.7 mg,0,0.86 mg,0.86 mg,6.8 mcg,211.00 mg,0.061 mg,0.75 mg,22.00 mg,0.113 mg,183.00 mg,258.00 mg,15.2 mcg,1.31 mg,11.28 g,0.429 g,0.456 g,0.804 g,0.116 g,2.019 g,0.366 g,0.277 g,0.090 g,0.429 g,0.902 g,0.840 g,0.250 g,0.500 g,1.081 g,0.509 g,0.393 g,0.125 g,0.348 g,0.483 g,10.33 g,1.6 g,3.53 g,1.11 g,0.18 g,1.02 g,1.22 g,0.00 g,0.00 g,10.84 g,5.347 g,3.203 g,0.789 g,40.00 mg,0,2.25 g,0,0,65.29 g
1925,"Soup, condensed, canned, onion",100 g,46,1.4g,0.2g,0,516.00 mg,4.0 mg,12.00 mcg,0.00 mcg,0.490 mg,0.000 mg,0.020 mg,0.027 mg,11.00 IU,3.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,1.00 mcg,0,0.00 mcg,0.040 mg,1.0 mg,0.00 IU,0.22 mg,0.22 mg,0.4 mcg,22.00 mg,0.100 mg,0.55 mg,2.00 mg,0.200 mg,9.00 mg,56.00 mg,3.5 mcg,0.50 mg,3.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68 g,0.7 g,2.72 g,0,0,0,0,0,0,1.42 g,0.210 g,0.610 g,0.530 g,0.00 mg,0.0 g,2.49 g,0.00 mg,0.00 mg,86.35 g
